price,availability_365,review_scores_rating,roomtype,neighbourhood
48.0,365,4.6,0,1.0
60.0,244,4.69,0,
50.0,365,4.7,0,1.0
200.0,362,4.93,1,1.0
60.0,239,4.81,0,
97.0,362,4.89,0,
89.0,362,4.75,0,1.0
76.0,365,5.0,0,
40.0,322,4.8,0,
204.0,364,5.0,0,0.0
33.0,358,4.54,0,3.0
70.0,365,4.86,0,1.0
70.0,365,4.82,0,1.0
42.0,258,5.0,0,
54.0,231,4.93,0,3.0
135.0,364,4.44,0,0.0
66.0,365,4.78,0,3.0
74.0,241,4.94,0,3.0
90.0,90,4.23,0,1.0
81.0,289,4.67,0,
56.0,362,4.77,0,3.0
200.0,365,4.39,1,1.0
130.0,352,4.38,0,1.0
90.0,263,4.5,0,1.0
100.0,278,5.0,0,1.0
100.0,319,4.83,0,1.0
100.0,50,4.89,0,1.0
100.0,8,4.5,0,1.0
100.0,302,4.53,0,1.0
55.0,180,4.83,0,1.0
107.0,364,4.0,0,0.0
27.0,365,5.0,0,3.0
259.0,180,4.76,0,3.0
50.0,271,4.87,0,3.0
53.0,211,4.75,0,1.0
140.0,180,4.77,1,
130.0,152,4.89,1,1.0
200.0,245,4.83,0,1.0
71.0,363,4.87,0,
250.0,358,5.0,0,3.0
100.0,288,5.0,0,1.0
160.0,365,5.0,0,1.0
60.0,365,4.73,0,0.0
42.0,361,4.71,0,0.0
68.0,365,4.67,0,1.0
140.0,334,4.8,0,1.0
180.0,253,4.0,0,1.0
181.0,273,4.12,1,1.0
170.0,365,5.0,0,1.0
88.0,365,4.0,0,3.0
50.0,330,4.96,0,1.0
70.0,319,4.75,0,1.0
88.0,265,4.86,0,3.0
200.0,264,4.68,1,1.0
86.0,365,4.6,0,3.0
25.0,365,5.0,0,3.0
89.0,90,4.91,0,1.0
100.0,365,4.75,0,1.0
130.0,365,5.0,0,1.0
130.0,4,4.8,0,1.0
90.0,363,4.94,0,
180.0,358,5.0,0,3.0
160.0,358,4.76,0,3.0
160.0,358,4.84,0,3.0
42.0,179,4.55,0,1.0
121.0,364,4.0,0,0.0
90.0,363,4.77,0,
47.0,268,4.75,0,0.0
120.0,358,4.93,0,3.0
56.0,180,4.43,0,3.0
40.0,90,4.6,0,1.0
56.0,272,4.55,0,3.0
74.0,365,5.0,0,3.0
130.0,365,4.5,0,1.0
90.0,246,5.0,0,3.0
75.0,323,4.82,0,0.0
70.0,365,4.0,0,3.0
53.0,241,5.0,0,3.0
38.0,364,4.2,0,3.0
100.0,90,4.84,0,1.0
130.0,365,4.0,0,1.0
155.0,365,4.33,1,1.0
53.0,180,5.0,0,3.0
41.0,365,5.0,0,3.0
80.0,222,4.8,0,3.0
38.0,178,4.67,0,1.0
55.0,361,4.79,0,3.0
235.0,0,4.56,0,3.0
461.0,364,4.5,1,3.0
90.0,263,4.0,0,1.0
100.0,319,4.83,0,1.0
100.0,309,4.67,0,1.0
99.0,303,5.0,0,1.0
118.0,365,3.5,0,3.0
80.0,179,5.0,0,1.0
80.0,179,5.0,0,1.0
80.0,364,5.0,0,1.0
240.0,364,5.0,1,3.0
80.0,364,4.98,0,3.0
58.0,364,4.69,0,1.0
100.0,180,5.0,0,3.0
100.0,364,4.92,0,3.0
45.0,154,4.75,0,1.0
185.0,363,5.0,1,
40.0,145,4.45,0,
66.0,364,4.88,0,3.0
78.0,90,4.76,0,
160.0,365,5.0,0,1.0
42.0,90,4.84,0,
63.0,365,5.0,0,
405.0,364,5.0,1,3.0
80.0,263,4.33,0,3.0
220.0,364,5.0,1,0.0
79.0,267,5.0,0,3.0
120.0,180,5.0,0,
355.0,364,5.0,1,0.0
60.0,238,5.0,0,
528.0,364,5.0,1,3.0
490.0,364,5.0,1,3.0
70.0,365,5.0,0,1.0
180.0,365,5.0,0,
43.0,247,4.0,0,1.0
65.0,184,4.5,0,3.0
75.0,365,5.0,0,0.0
120.0,90,5.0,0,3.0
50.0,364,4.67,0,3.0
390.0,364,5.0,1,3.0
35.0,90,4.57,0,
381.0,364,4.0,1,3.0
71.0,365,4.67,0,0.0
70.0,43,5.0,0,0.0
61.0,303,4.96,0,3.0
74.0,302,5.0,0,3.0
74.0,302,5.0,0,3.0
42.0,365,5.0,0,
270.0,364,5.0,1,3.0
140.0,77,5.0,0,1.0
140.0,361,5.0,0,1.0
160.0,361,5.0,0,1.0
160.0,301,5.0,0,1.0
160.0,301,5.0,0,1.0
160.0,316,4.0,0,1.0
140.0,180,5.0,0,1.0
140.0,77,4.5,0,1.0
120.0,247,5.0,0,1.0
140.0,28,5.0,0,1.0
74.0,365,4.64,0,3.0
500.0,361,5.0,1,
401.0,344,4.86,1,
376.0,258,4.5,1,
914.0,365,4.25,1,
731.0,344,5.0,1,
685.0,258,5.0,1,
350.0,364,4.0,1,0.0
339.0,364,5.0,1,3.0
340.0,364,4.0,1,3.0
691.0,357,5.0,1,3.0
47.0,361,4.88,0,0.0
310.0,364,5.0,1,3.0
440.0,364,3.0,1,3.0
121.0,365,5.0,0,
70.0,365,5.0,0,0.0
62.0,240,5.0,1,1.0
470.0,364,4.0,1,3.0
154.0,365,5.0,0,3.0
159.0,273,5.0,1,1.0
68.0,364,5.0,0,3.0
70.0,365,2.0,0,0.0
130.0,363,5.0,1,1.0
132.0,364,5.0,0,1.0
80.0,364,2.0,0,3.0
450.0,364,5.0,1,3.0
55.0,364,5.0,0,1.0
80.0,138,4.85,0,3.0
68.0,254,5.0,0,1.0
78.0,208,4.78,0,
57.0,168,4.0,0,0.0
96.0,269,4.75,0,3.0
95.0,221,5.0,1,1.0
56.0,269,3.0,0,3.0
190.0,74,5.0,0,3.0
190.0,104,5.0,1,
204.0,357,4.3,0,1.0
187.0,362,4.43,0,1.0
70.0,269,5.0,0,1.0
405.0,89,5.0,0,1.0
62.0,365,5.0,0,3.0
240.0,362,3.0,1,
209.0,365,2.0,1,
78.0,302,5.0,0,0.0
